Node,Degree
include,2974
use,2381
UAV,2213
method,2150
provide,1828
drone,1783
system,1756
have,1590
unmanned_aerial_vehicle,1576
plurality,1545
be,1506
vehicle,1302
device,1285
comprise,1245
user,1103
data,1100
location,1052
image,987
receive,972
aircraft,950
determine,942
control,901
information,894
object,886
position,805
area,699
time,687
order,687
UAVs,670
camera,662
processor,655
signal,654
sensor,649
generate,646
operation,639
part,610
present_invention,610
power,583
invention,574
aerial_vehicle,561
portion,560
andor,560
perform,556
communication,549
embodiment,548
mean,547
need,544
number,539
set,524
that,515
apparatus,514
transmit,511
response,494
target,493
example,492
detect,490
flight,489
form,479
operator,447
payload,445
unmanned_vehicle,443
cause,422
surface,420
which,411
distance,410
direction,408
configure,405
require,404
display,403
change,394
respect,392
controller,392
point,381
access,377
type,377
identify,376
movement,376
environment,364
base,363
structure,362
network,353
application,353
process,349
field,343
instruction,341
store,338
package,331
ground,330
it,330
couple,327
allow,324
enable,318
propeller,318
function,315
and,315
capture,313
video,306
way,304
make,303
herein,303
associate,300
one,299
obtain,298
person,298
item,296
electronic_device,296
housing,294
describe,291
control_system,289
range,287
case,287
air,287
battery,287
connect,286
light,285
feature,279
problem,279
component,276
UaV,274
motor,274
place,274
event,273
view,273
present_disclosure,273
body,272
carry,267
speed,266
increase,265
define,265
unit,262
utilize,260
send,258
reduce,258
support,256
step,255
combination,253
limit,249
variety,249
route,248
delivery,248
service,247
material,246
path,246
move,245
ability,244
measure,241
technology,239
base_station,239
mobile_device,239
wing,239
disclosure,237
become,235
software,233
computer,233
antenna,233
operate,232
condition,232
technique,232
frame,231
container,231
space,231
aspect,230
individual,229
rotor,228
output,228
memory,227
task,226
take,224
create,224
flight_path,224
receiver,222
disclose,221
result,221
size,218
action,218
command,217
approach,217
calculate,216
server,214
input,213
accordance,212
cost,210
group,209
select,208
monitor,207
platform,207
locate,206
energy,204
maintain,202
mount,201
end,201
power_source,200
advantage,198
implement,198
design,197
performance,196
pilot,196
pixel,195
pair,192
center,191
element,190
orientation,190
region,189
sensor_data,188
machine,185
weight,185
capability,185
aerial_farm_robot,182
mission,181
angle,181
transmitter,181
terminal,181
transmission,180
damage,180
robot,179
produce,179
air_vehicle,178
request,178
fuselage,177
model,177
beam,177
track,176
reference,175
amount,173
fly,172
represent,171
configuration,170
motion,170
altitude,169
presence,168
interest,168
effect,168
detection,168
image_data,167
risk,167
equipment,167
indication,167
tether,167
collect,166
indicate,165
line,165
